"@timestamp","process.parent.executable","process.parent.command_line","process.executable","process.command_line","process.pid","file.path","Target.process.executable","Target.process.pid","source.ip","destination.ip","dns.question.name","dll.path","registry.path","event.action"
"Jun 1, 2026 @ 14:21:06.363","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{660A63B0-48D1-42CC-BB86-1BFD4FBBAC90}\DynamicInfo",modification
"Jun 1, 2026 @ 14:21:06.399","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","C:\Windows\System32\schtasks.exe","schtasks.exe /Create /tn ""Microsoft\Office\Office Automatic Updates 2.0"" /XML ""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\FrequentOfficeUpdateSchedule.xml""","26,680","-","-","-","-","-","-","-","-",end
"Jun 1, 2026 @ 14:21:06.429","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","C:\Windows\System32\schtasks.exe","schtasks.exe /change /tn ""Microsoft\Office\Office Automatic Updates 2.0"" /enable","10,908","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:06.431","C:\Windows\System32\schtasks.exe","schtasks.exe /Create /tn ""Microsoft\Office\Office Automatic Updates 2.0"" /XML ""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\FrequentOfficeUpdateSchedule.xml""","C:\Windows\System32\conhost.exe","\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1","11,348","-","-","-","-","-","-","-","-",end
"Jun 1, 2026 @ 14:21:06.480","C:\Windows\System32\schtasks.exe","schtasks.exe /change /tn ""Microsoft\Office\Office Automatic Updates 2.0"" /enable","C:\Windows\System32\conhost.exe","\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1","18,108","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:06.554","-","-","C:\Windows\System32\schtasks.exe","-","10,908","-","-","-","-","-","-","C:\Windows\System32\taskschd.dll","-",load
"Jun 1, 2026 @ 14:21:06.564","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","C:\Windows\System32\schtasks.exe","schtasks.exe /change /tn ""Microsoft\Office\Office Automatic Updates 2.0"" /enable","10,908","-","-","-","-","-","-","-","-",end
"Jun 1, 2026 @ 14:21:06.575","C:\Windows\System32\schtasks.exe","schtasks.exe /change /tn ""Microsoft\Office\Office Automatic Updates 2.0"" /enable","C:\Windows\System32\conhost.exe","\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1","18,108","-","-","-","-","-","-","-","-",end
"Jun 1, 2026 @ 14:21:06.739","-","-","C:\Program Files\Microsoft OneDrive\OneDrive.exe","-","35,608","-","-","-","173.10.254.170","150.171.22.11","-","-","-","connection_attempted"
"Jun 1, 2026 @ 14:21:07.365","-","-","C:\Program Files\Microsoft OneDrive\OneDrive.exe","-","35,608","-","-","-","173.10.254.170","150.171.22.11","-","-","-","disconnect_received"
