Depth,PID,Process,Process Name,Parent,Parent Name,Event Count,Alert Severity,Alert Score,Detection Types,Suspicious
2,15252,C:\Windows\System32\cmd.exe,cmd.exe,C:\Users\DELL\office_portable_x3.exe,office_portable_x3.exe,2,CRITICAL,100,Defense Evasion | EDR Rule Detection | LOLBin Abuse | PowerShell Payload | Sigma Match | Suspicious User-Agent / Tool,YES
2,7396,C:\Windows\System32\cmd.exe,cmd.exe,C:\Users\DELL\office_portable_x3.exe,office_portable_x3.exe,2,CRITICAL,100,Defense Evasion | EDR Rule Detection | LOLBin Abuse | PowerShell Payload | Sigma Match | Suspicious User-Agent / Tool,YES
2,19284,C:\Windows\System32\cmd.exe,cmd.exe,C:\Users\DELL\office_portable_x3.exe,office_portable_x3.exe,2,CRITICAL,100,Defense Evasion | EDR Rule Detection | LOLBin Abuse | PowerShell Payload | Sigma Match | Suspicious User-Agent / Tool,YES
2,26804,C:\Windows\System32\cmd.exe,cmd.exe,C:\Users\DELL\office_portable_x3.exe,office_portable_x3.exe,2,CRITICAL,100,Defense Evasion | EDR Rule Detection | LOLBin Abuse | PowerShell Payload | Sigma Match | Suspicious User-Agent / Tool,YES
2,21052,C:\Windows\System32\curl.exe,curl.exe,C:\Users\DELL\office_portable_x3.exe,office_portable_x3.exe,11,CRITICAL,100,EDR Rule Detection | LOLBin Abuse | Recon / IP Discovery,YES
2,1948,C:\Windows\System32\schtasks.exe,schtasks.exe,C:\Users\DELL\office_portable_x3.exe,office_portable_x3.exe,3,CRITICAL,100,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,YES
2,12252,C:\Windows\System32\reg.exe,reg.exe,C:\Users\DELL\office_portable_x3.exe,office_portable_x3.exe,5,CRITICAL,100,EDR Rule Detection | LOLBin Abuse | Persistence | Sigma Match,YES
2,29508,C:\Windows\Temp\{20A855C1-AE88-4232-8344-2B69A1F8BD6B}\.cr\vc_redist.x64.exe,vc_redist.x64.exe,C:\Program Files\Microsoft Office\root\Integration\Addons\vc_redist.x64.exe,vc_redist.x64.exe,75,HIGH,60,Malware Staging,YES
2,34308,C:\Windows\Temp\{27E1843A-2F51-4486-B11C-361AB8D51008}\.cr\vc_redist.x86.exe,vc_redist.x86.exe,C:\Program Files\Microsoft Office\root\Integration\Addons\vc_redist.x86.exe,vc_redist.x86.exe,75,HIGH,60,Malware Staging,YES
2,31464,C:\Windows\System32\conhost.exe,conhost.exe,C:\Windows\Microsoft.NET\Framework64\v3.5\AddInUtil.exe,addinutil.exe,2,,0,,
