Timeline #,Timestamp,Alert ID,Tactic ID,Tactic,Tactic Order,Process,Parent Process,Detection Type,Risk Score,Severity,MITRE Technique,MITRE Name,Destination IP,Registry Path,Detail
178,"Jun 1, 2026 @ 14:22:59.191",AH-A3C3CD65,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
179,"Jun 1, 2026 @ 14:22:59.216",AH-CFFD6764,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
180,"Jun 1, 2026 @ 14:22:59.240",AH-E8ACEDD0,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
181,"Jun 1, 2026 @ 14:22:59.300",AH-2FF960D6,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
182,"Jun 1, 2026 @ 14:22:59.323",AH-99B251BC,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
183,"Jun 1, 2026 @ 14:22:59.409",AH-808E1AD1,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
184,"Jun 1, 2026 @ 14:22:59.437",AH-A0C7FDF4,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
185,"Jun 1, 2026 @ 14:22:59.464",AH-A7E23538,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
186,"Jun 1, 2026 @ 14:22:59.535",AH-C8AAB233,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
187,"Jun 1, 2026 @ 14:22:59.575",AH-2516C28A,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
188,"Jun 1, 2026 @ 14:22:59.753",AH-A12435C7,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
189,"Jun 1, 2026 @ 14:22:59.785",AH-DCFE0F59,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
190,"Jun 1, 2026 @ 14:23:01.254",AH-5581FD2F,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,100,CRITICAL,T1036,Masquerading,,HKEY_USERS\S-1-5-21-3330616437-3750286687-2521933251-1001\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\ProxyBypass,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
191,"Jun 1, 2026 @ 14:23:01.255",AH-32FCE8EA,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,HKEY_USERS\S-1-5-21-3330616437-3750286687-2521933251-1001\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\UNCAsIntranet,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
192,"Jun 1, 2026 @ 14:23:01.256",AH-F7ED124F,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,HKEY_USERS\S-1-5-21-3330616437-3750286687-2521933251-1001\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\AutoDetect,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
193,"Jun 1, 2026 @ 14:23:04.556",AH-A6B3A526,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,C:\Users\DELL\office_portable_x3.exe,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
194,"Jun 1, 2026 @ 14:23:04.627",AH-BD2E9A17,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,C:\Windows\System32\cmd.exe,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
195,"Jun 1, 2026 @ 14:23:04.642",AH-04C7009A,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,C:\Windows\System32\cmd.exe,EDR Rule Detection | Malware Staging | Sigma Match,100,CRITICAL,T1036,Masquerading,,,Security rule fired on: office_portable_x3.exe | C:\Users\DELL\office_portable_x3.exe ; Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
196,"Jun 1, 2026 @ 14:23:04.749",AH-D48E199B,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
197,"Jun 1, 2026 @ 14:23:04.751",AH-54772DE8,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
198,"Jun 1, 2026 @ 14:23:04.754",AH-E72509A2,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
199,"Jun 1, 2026 @ 14:23:04.756",AH-6B990D6C,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
200,"Jun 1, 2026 @ 14:23:04.761",AH-2D96161D,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
201,"Jun 1, 2026 @ 14:23:04.763",AH-E0102BE8,TA0001,Initial Access,0,C:\Users\DELL\office_portable_x3.exe,,Malware Staging | Sigma Match,65,HIGH,T1036,Masquerading,,,Execution from user-writable path: c:\users\dell\office_portable_x3.exe ; Executable running from Users/ directory — possible dropper
