IOC Type,IOC Value,Source,Context,Timestamp,Risk,TI Verdict,TI Tags,TI Confidence
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\python3.dll,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.992",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\python313.dll,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:05.048",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\select.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:05.049",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\unicodedata.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:05.059",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\Public\Pictures\kelotopu\GUID,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:17.642",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\Public\Pictures\kelotopu\uusd.exe,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:19.383",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\Public\Pictures\kelotopu\002w.txt,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:19.389",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\Public\Pictures\kelotopu\002a.txt,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:19.636",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\Public\Pictures\kelotopu\cinfo.inf,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:20.794",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\Public\Pictures\kelotopu\xuvotopo.js,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:20.968",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\Public\Pictures\kelotopu\xuvotopo.xml,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:21.976",Medium,Suspicious,Suspicious path,70
Suspicious Process,C:\Users\Public\Pictures\kelotopu\uusd.exe,_process,Parent: C:\Windows\System32\wscript.exe,"Jun 1, 2026 @ 14:24:03.255",High,Suspicious,Suspicious path,70
Domain,clients.config.office.net,dns.question.name,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:21:57.330",Unknown,Unknown,,0
Domain,otelrules.svc.static.microsoft,dns.question.name,Process: C:\Program Files\Common Files\microsoft shared\ClickToRun\Of,"Jun 1, 2026 @ 14:22:00.437",Unknown,Unknown,,0
Domain,roaming.svc.cloud.microsoft,dns.question.name,Process: C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,"Jun 1, 2026 @ 14:23:36.117",Unknown,Unknown,,0
Domain,recent.svc.cloud.microsoft,dns.question.name,Process: C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,"Jun 1, 2026 @ 14:23:39.519",Unknown,Unknown,,0
Domain,wpad,dns.question.name,Process: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148,"Jun 1, 2026 @ 14:23:40.352",Unknown,Unknown,,0
Domain,licensing.m365.svc.cloud.microsoft,dns.question.name,Process: C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,"Jun 1, 2026 @ 14:23:50.130",Unknown,Unknown,,0
Domain,d.docs.live.net,dns.question.name,Process: C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE,"Jun 1, 2026 @ 14:23:59.728",Unknown,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Packages\Claude_pzs8sxrjxfjjc\LocalCache\Roaming\Claude\sentry\session.json,file.path,Process: C:\Program Files\WindowsApps\Claude_1.9659.2.0_x64__pzs8sxrj,"Jun 1, 2026 @ 14:21:01.086",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\OneDrive\settings\Personal\assertinformation.temp.ini,file.path,Process: C:\Program Files\Microsoft OneDrive\OneDrive.exe,"Jun 1, 2026 @ 14:21:09.842",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\OneDrive\settings\Personal\assertInformation.backup.ini,file.path,Process: C:\Program Files\Microsoft OneDrive\OneDrive.exe,"Jun 1, 2026 @ 14:21:09.848",Medium,Unknown,,0
File Path,C:\Users\DELL\AppData\Local\Microsoft\OneDrive\settings\Personal\assertInformation.ini,file.path,Process: C:\Program Files\Microsoft OneDrive\OneDrive.exe,"Jun 1, 2026 @ 14:21:09.849",Medium,Unknown,,0
File Path,C:\Windows\TEMP\DESKTOP-MPJ4I7R-20260601-1421.log,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Integrato,"Jun 1, 2026 @ 14:21:10.118",Medium,Unknown,,0
File Path,C:\Windows\system32\config\systemprofile\AppData\Local\Microsoft\Office\OTele\integrator.exe.db-shm,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Integrato,"Jun 1, 2026 @ 14:21:16.123",Medium,Unknown,,0
File Path,C:\Windows\system32\config\systemprofile\AppData\Local\Microsoft\Office\OTele\integrator.exe.db-wal,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Integrato,"Jun 1, 2026 @ 14:21:16.124",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\ClickToRun\{9AC08E99-230B-47e8-9721-4577B7F124EA}\integrator.exe,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Integrato,"Jun 1, 2026 @ 14:21:16.648",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\ClickToRun\{9AC08E99-230B-47e8-9721-4577B7F124EA}\Microsoft_Office_Office Feature Updates.xml,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Integrato,"Jun 1, 2026 @ 14:21:17.211",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\ClickToRun\{9AC08E99-230B-47e8-9721-4577B7F124EA}\Microsoft_Office_Office Feature Updates Logon.xml,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Integrato,"Jun 1, 2026 @ 14:21:17.402",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\ClickToRun\{9AC08E99-230B-47e8-9721-4577B7F124EA}\Microsoft_Office_Office Performance Monitor.xml,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Integrato,"Jun 1, 2026 @ 14:21:17.622",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\ClickToRun\{9AC08E99-230B-47e8-9721-4577B7F124EA}\Microsoft_Office_Office Actions Server.xml,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Integrato,"Jun 1, 2026 @ 14:21:17.825",Medium,Unknown,,0
File Path,C:\ProgramData\Microsoft\ClickToRun\{9AC08E99-230B-47e8-9721-4577B7F124EA}\Microsoft_Office_Office Startup Maintenance.xml,file.path,Process: C:\Program Files\Microsoft Office\root\Integration\Integrato,"Jun 1, 2026 @ 14:21:18.031",Medium,Unknown,,0
